Art.nM,t.min,Abs,Date,Annotation
0.4,0,0.22,20120729,0.4/0.1 nM
0.4,5,0.255,20120729,0.4/0.1 nM
0.4,10,0.295,20120729,0.4/0.1 nM
0.4,20,0.313,20120729,0.4/0.1 nM
0.4,30,0.329,20120729,0.4/0.1 nM
0.4,40,0.333,20120729,0.4/0.1 nM
0.4,50,0.343,20120729,0.4/0.1 nM
0.4,60,0.339,20120729,0.4/0.1 nM
0.4,70,0.351,20120729,0.4/0.1 nM
0.4,80,0.368,20120729,0.4/0.1 nM
0.4,90,0.375,20120729,0.4/0.1 nM
0.4,C1,0.533,20120729,0.4/0.1 nM
LB,LB,0.09,20120729,0.4/0.1 nM
no C,no C,0.24,20120729,0.4/0.1 nM
no D,no D,0.051,20120729,0.4/0.1 nM
0.4,0,0.631,20120808,0.4 nM 8min
0.4,5,0.583,20120808,0.4 nM 8min
0.4,10,0.59,20120808,0.4 nM 8min
0.4,20,0.621,20120808,0.4 nM 8min
0.4,30,0.62,20120808,0.4 nM 8min
0.4,40,0.664,20120808,0.4 nM 8min
0.4,50,0.635,20120808,0.4 nM 8min
0.4,60,0.602,20120808,0.4 nM 8min
0.4,70,0.624,20120808,0.4 nM 8min
0.4,80,0.638,20120808,0.4 nM 8min
0.4,90,0.616,20120808,0.4 nM 8min
0.4,C1,0.833,20120808,0.4 nM 8min
LB,LB,0.135,20120808,0.4 nM 8min
no C,no C,0.563,20120808,0.4 nM 8min
no D,no D,0.052,20120808,0.4 nM 8min
0.4,0,0.327,20120809,0.4 nM 7min
0.4,5,0.369,20120809,0.4 nM 7min
0.4,10,0.385,20120809,0.4 nM 7min
0.4,20,0.404,20120809,0.4 nM 7min
0.4,30,0.419,20120809,0.4 nM 7min
0.4,40,0.393,20120809,0.4 nM 7min
0.4,50,0.429,20120809,0.4 nM 7min
0.4,60,0.416,20120809,0.4 nM 7min
0.4,70,0.417,20120809,0.4 nM 7min
0.4,80,0.436,20120809,0.4 nM 7min
0.4,90,0.434,20120809,0.4 nM 7min
0.4,C1,0.876,20120809,0.4 nM 7min
LB,LB,0.106,20120809,0.4 nM 7min
no C,no C,0.274,20120809,0.4 nM 7min
no D,no D,0.058,20120809,0.4 nM 7min
0.4,0,0.371,20120811,0.4 nM 5.5min
0.4,5,0.445,20120811,0.4 nM 5.5min
0.4,10,0.413,20120811,0.4 nM 5.5min
0.4,20,0.484,20120811,0.4 nM 5.5min
